seed,attention,step,loss,train_accuracy,train_tokens
2026,dense,1,4.437345504760742,0.0,4
2026,dense,2,4.977423667907715,0.0,4
2026,dense,3,5.463169574737549,0.0,4
2026,dense,4,5.151764869689941,0.0,4
2026,dense,5,5.019522666931152,0.0,4
2026,dense,6,5.345976829528809,0.0,4
2026,dense,7,4.950778961181641,0.0,4
2026,dense,8,4.813431262969971,0.0,4
2026,dense,9,4.981509208679199,0.0,4
2026,dense,10,4.442614555358887,0.0,4
2026,dense,11,4.999791145324707,0.0,4
2026,dense,12,4.588064670562744,0.0,4
2026,dense,13,4.988603591918945,0.0,4
2026,dense,14,4.431911468505859,0.0,4
2026,dense,15,5.221625804901123,0.0,4
2026,dense,16,5.480449199676514,0.0,4
2026,dense,17,5.171320915222168,0.0,4
2026,dense,18,4.940550327301025,0.0,4
2026,dense,19,5.092745304107666,0.0,4
2026,dense,20,5.400190353393555,0.0,4
2026,dense,21,5.1697998046875,0.0,4
2026,dense,22,5.0735859870910645,0.0,4
2026,dense,23,5.1167402267456055,0.0,4
2026,dense,24,4.66573429107666,0.0,4
2026,dense,25,4.9831719398498535,0.0,4
2026,dense,26,4.968347549438477,0.0,4
2026,dense,27,4.995165824890137,0.0,4
2026,dense,28,4.749005317687988,0.0,4
2026,dense,29,5.363787651062012,0.0,4
2026,dense,30,4.976048946380615,0.0,4
2026,dense,31,5.350948333740234,0.0,4
2026,dense,32,4.97745418548584,0.0,4
2026,dense,33,5.129179954528809,0.0,4
2026,dense,34,4.799507141113281,0.0,4
2026,dense,35,4.935218334197998,0.0,4
2026,dense,36,5.0854597091674805,0.0,4
2026,dense,37,5.068168640136719,0.0,4
2026,dense,38,4.835753440856934,0.0,4
2026,dense,39,4.81505823135376,0.0,4
2026,dense,40,5.155640602111816,0.0,4
2026,dense,41,4.685075759887695,0.0,4
2026,dense,42,5.253754138946533,0.0,4
2026,dense,43,4.511395454406738,0.0,4
2026,dense,44,5.074387550354004,0.0,4
2026,dense,45,4.905815124511719,0.0,4
2026,dense,46,4.827492713928223,0.0,4
2026,dense,47,4.94217586517334,0.0,4
2026,dense,48,4.4588117599487305,0.0,4
2026,dense,49,4.814988136291504,0.0,4
2026,dense,50,4.349569797515869,0.0,4
2026,dense,51,4.392114639282227,0.0,4
2026,dense,52,4.82165002822876,0.0,4
2026,dense,53,4.802457332611084,0.0,4
2026,dense,54,5.594177722930908,0.0,4
2026,dense,55,4.818000793457031,0.0,4
2026,dense,56,4.891964435577393,0.0,4
2026,dense,57,4.511676788330078,0.0,4
2026,dense,58,4.928587913513184,0.0,4
2026,dense,59,5.212971210479736,0.0,4
2026,dense,60,5.163076400756836,0.0,4
2026,dense,61,4.730914115905762,0.0,4
2026,dense,62,5.02321720123291,0.0,4
2026,dense,63,4.886324882507324,0.0,4
2026,dense,64,4.967597007751465,0.0,4
2026,dense,65,4.677290916442871,0.0,4
2026,dense,66,4.786151885986328,0.0,4
2026,dense,67,4.726153373718262,0.0,4
2026,dense,68,4.480810165405273,0.0,4
2026,dense,69,4.47237491607666,0.0,4
2026,dense,70,4.981189727783203,0.0,4
2026,dense,71,4.784506797790527,0.0,4
2026,dense,72,5.224123477935791,0.0,4
2026,dense,73,5.0272746086120605,0.0,4
2026,dense,74,4.684870719909668,0.0,4
2026,dense,75,4.288140773773193,0.25,4
2026,dense,76,4.909528732299805,0.0,4
2026,dense,77,4.295141220092773,0.0,4
2026,dense,78,5.231833457946777,0.0,4
2026,dense,79,4.999223709106445,0.0,4
2026,dense,80,4.44509220123291,0.0,4
2026,dense,81,5.061126232147217,0.0,4
2026,dense,82,4.839289665222168,0.25,4
2026,dense,83,4.967185020446777,0.0,4
2026,dense,84,4.649201393127441,0.25,4
2026,dense,85,4.1314287185668945,0.0,4
2026,dense,86,5.020485877990723,0.0,4
2026,dense,87,4.201574325561523,0.0,4
2026,dense,88,4.939010143280029,0.0,4
2026,dense,89,4.615089416503906,0.0,4
2026,dense,90,4.9755024909973145,0.0,4
2026,dense,91,4.719986915588379,0.0,4
2026,dense,92,4.3573479652404785,0.0,4
2026,dense,93,4.195542812347412,0.0,4
2026,dense,94,4.590566635131836,0.0,4
2026,dense,95,4.158636093139648,0.25,4
2026,dense,96,4.186567306518555,0.0,4
2026,dense,97,4.732235908508301,0.0,4
2026,dense,98,4.586601257324219,0.0,4
2026,dense,99,5.032965660095215,0.0,4
2026,dense,100,4.292170524597168,0.0,4
2026,dense,101,4.459292411804199,0.0,4
